,date,PM2.5,PM10,O3,NO2,CO,NO,NOx,SO2,PRS,RH,TOUT,SR,WSR,WDR
0,2018-01-07,28.482142857142858,71.68452380952381,12.821428571428571,24.913095238095234,0.92,46.65654761904762,71.07202380952381,5.6,720.870238095238,74.54761904761905,8.527440476190476,0.0933809523809523,6.745238095238095,114.14285714285714
1,2018-01-14,25.154761904761905,95.97619047619048,20.017857142857142,22.101785714285715,0.92,25.52857142857143,46.91904761904762,5.6,716.9410714285715,46.97619047619048,15.755178571428573,0.1395595238095238,6.807738095238095,121.07738095238096
2,2018-01-21,32.95238095238095,77.64285714285714,15.922619047619047,25.070238095238096,0.92,47.320238095238096,72.30178571428571,5.6,719.2571428571429,75.0,9.894107142857145,0.0936904761904761,6.422619047619048,110.38690476190476
3,2018-01-28,29.452380952380956,68.5952380952381,13.273809523809524,21.125,0.92,33.954166666666666,54.7047619047619,5.6,718.4541666666667,65.58928571428571,14.391607142857143,0.075345238095238,6.776190476190477,95.25
4,2018-02-04,26.95833333333333,80.83333333333333,19.732142857142858,24.61369047619048,1.3808333333333334,21.10892857142857,45.09404761904762,5.6,717.4601190476191,46.96428571428572,17.42511904761905,0.0970892857142857,6.919642857142857,145.0297619047619
5,2018-02-11,42.32142857142857,97.60119047619048,10.160714285714286,22.88154761904762,1.6501785714285715,29.007142857142856,50.973214285714285,5.6,714.7327380952381,70.41071428571429,16.951964285714286,0.0881071428571428,6.4696428571428575,140.07738095238096
6,2018-02-18,39.160714285714285,74.94047619047619,15.785714285714286,19.98154761904762,1.4279761904761905,14.24404761904762,33.38869047619048,5.6,716.3839285714286,78.1547619047619,17.64952380952381,0.1047857142857142,6.389285714285715,97.60119047619048
7,2018-02-25,33.70238095238095,74.91666666666667,15.49404761904762,20.34464285714286,1.4017857142857142,11.388690476190476,31.035714285714285,5.6,712.3541666666666,74.79761904761905,20.79440476190476,0.1118928571428571,6.60952380952381,102.67857142857144
8,2018-03-04,31.68452380952381,70.50595238095238,25.636904761904763,17.07202380952381,1.1775595238095238,100.20416666666668,116.63095238095238,5.6,713.754761904762,62.92261904761905,21.825,0.1488928571428571,7.335714285714286,101.77380952380952
9,2018-03-11,24.952380952380956,70.60119047619048,33.035714285714285,19.477380952380955,1.0041071428571429,78.1595238095238,96.76011904761906,5.6,712.9982142857143,55.32738095238095,21.25559523809524,0.1648035714285714,8.673214285714286,107.2797619047619
10,2018-03-18,21.654761904761905,55.80357142857143,29.19047619047619,20.8,1.0725,30.5,50.5,5.6,713.7642857142857,51.60714285714285,21.06059523809524,0.1510416666666666,8.277380952380952,135.98214285714286
11,2018-03-25,23.541666666666668,62.85714285714285,31.86309523809524,20.8,1.0729166666666667,30.5,50.5,5.6,712.4315476190476,55.57142857142857,23.65904761904762,0.1494880952380952,8.111904761904762,109.75595238095238
12,2018-04-01,32.86309523809524,57.38690476190476,37.375,20.8,0.7815476190476192,30.5,50.5,5.6,711.3113095238095,53.398809523809526,24.588809523809523,0.1805178571428571,8.248809523809523,96.25
13,2018-04-08,47.0,71.11904761904762,28.45833333333333,20.8,0.90125,30.5,50.5,5.6,710.3470238095239,59.54761904761905,22.86898809523809,0.1678452380952381,7.590476190476191,103.58333333333331
14,2018-04-15,38.44047619047619,79.39285714285714,29.88095238095238,20.8,1.2095238095238094,30.5,50.5,5.6,713.0952380952381,50.24404761904762,22.764166666666668,0.1752916666666666,8.850595238095238,120.5654761904762
15,2018-04-22,27.452380952380956,62.77976190476191,32.19642857142857,20.8,2.498214285714285,30.5,50.5,5.6,713.5196428571429,63.07738095238095,23.18702380952381,0.1452678571428571,8.314880952380953,105.52380952380952
16,2018-04-29,21.035714285714285,45.27976190476191,18.107142857142858,20.8,2.094583333333333,30.5,50.5,5.6,714.1279761904761,78.64880952380952,20.606964285714284,0.0980654761904762,8.3375,105.14880952380952
17,2018-05-06,32.82142857142857,69.16071428571429,9.720238095238097,26.92559523809524,1.3748214285714286,39.61845238095238,65.625,4.955357142857143,713.0892857142857,74.97619047619048,24.531011904761904,0.123875,6.850595238095239,112.57738095238096
18,2018-05-13,26.83333333333333,58.94642857142857,15.345238095238097,18.11369047619048,1.2163690476190476,27.297023809523807,44.68869047619047,6.527380952380952,713.0398809523809,63.95238095238095,24.88077380952381,0.1620357142857142,8.189285714285713,108.86309523809524
19,2018-05-20,27.06547619047619,51.023809523809526,13.714285714285714,11.398809523809524,1.1819642857142856,26.65714285714285,36.73630952380952,10.27797619047619,710.0684523809524,64.67261904761905,27.03386904761905,0.1633869047619047,8.675,116.4345238095238
20,2018-05-27,23.660714285714285,43.833333333333336,15.75595238095238,11.123214285714289,1.1495238095238096,30.42619047619048,39.57440476190476,6.998809523809523,711.4416666666666,65.14285714285714,27.118392857142855,0.1524583333333333,8.614880952380952,130.94642857142858
21,2018-06-03,27.70833333333333,53.898809523809526,17.529761904761905,17.07857142857143,1.152559523809524,18.32797619047619,34.11964285714286,8.489880952380952,709.4434523809524,58.625,29.36523809523809,0.1730416666666666,8.87797619047619,107.875
22,2018-06-10,24.48809523809524,58.23214285714285,17.696428571428573,21.558928571428574,1.0991666666666666,12.84940476190476,33.43273809523809,6.947619047619048,711.3410714285715,56.10119047619048,29.207857142857144,0.1772261904761904,9.09702380952381,114.57142857142856
23,2018-06-17,21.928571428571427,44.98214285714285,14.25,24.2625,1.068690476190476,11.58452380952381,34.34404761904762,4.136309523809524,710.5494047619047,62.625,27.84625,0.1525357142857143,9.789285714285716,124.83928571428572
24,2018-06-24,26.452380952380956,44.79761904761905,13.99404761904762,30.83511904761905,1.2395238095238097,22.17142857142857,50.99642857142857,4.763690476190476,709.7392857142856,72.00595238095238,27.061666666666664,0.1305595238095238,6.982142857142857,104.21428571428572
25,2018-07-01,29.392857142857142,59.398809523809526,16.63095238095238,18.89642857142857,1.0750595238095235,22.19761904761905,38.99464285714286,3.5125,711.8523809523809,62.07738095238095,28.44761904761905,0.1502380952380952,8.5625,119.02380952380952
26,2018-07-08,29.922619047619047,68.7202380952381,13.898809523809524,26.70654761904762,1.070297619047619,15.918452380952385,40.82142857142857,1.7434523809523808,714.1744047619047,61.68452380952381,27.784702380952385,0.1710535714285714,7.91547619047619,104.88690476190476
27,2018-07-15,24.49404761904762,73.16071428571429,16.50595238095238,20.89940476190476,1.0329761904761905,12.366666666666664,31.718452380952375,2.0136904761904764,714.3404761904761,57.642857142857146,28.19678571428572,0.1786845238095238,8.694642857142858,108.4702380952381
28,2018-07-22,25.761904761904763,84.32738095238095,20.45833333333333,18.435119047619047,0.9935714285714284,8.91607142857143,26.572023809523813,1.9196428571428568,712.5797619047619,49.48214285714285,30.43005952380953,0.1968452380952381,8.21547619047619,104.57142857142856
29,2018-07-29,24.154761904761905,79.20238095238095,22.892857142857142,14.672619047619047,0.985654761904762,5.379166666666667,19.682142857142857,5.5095238095238095,712.7386904761905,48.29761904761905,31.303630952380956,0.1800059523809523,8.045833333333334,110.6845238095238
30,2018-08-05,13.678571428571429,54.07142857142857,25.84523809523809,15.360714285714286,1.0039285714285715,4.390476190476191,19.611309523809524,6.3339285714285705,712.8744047619048,47.845238095238095,30.25535714285714,0.1707440476190476,7.154761904761905,126.26785714285714
31,2018-08-12,14.297619047619047,51.083333333333336,24.452380952380956,21.00059523809524,0.9957142857142858,7.16547619047619,27.70952380952381,12.30654761904762,712.725,53.17261904761905,29.369285714285716,0.1590059523809524,8.10892857142857,137.63690476190476
32,2018-08-19,17.75595238095238,56.04166666666666,26.08333333333333,17.85892857142857,0.969404761904762,6.623214285714286,24.16547619047619,16.854761904761904,712.2863095238096,53.93452380952381,29.96357142857143,0.1989583333333333,8.4125,184.41071428571428
33,2018-08-26,10.964285714285714,46.75,24.041666666666668,14.288095238095238,0.8271428571428572,9.813095238095238,23.92142857142857,17.320833333333333,713.1541666666666,52.15476190476191,30.005000000000003,0.2012142857142857,9.288690476190476,192.3869047619048
34,2018-09-02,13.93452380952381,50.535714285714285,27.541666666666668,21.25297619047619,0.8469047619047619,5.760119047619048,26.742261904761904,18.104761904761904,711.3386904761904,55.80357142857143,29.30261904761905,0.1755833333333333,8.064285714285713,192.75
35,2018-09-09,14.101190476190476,42.75595238095238,23.547619047619047,21.37678571428572,0.904047619047619,7.35,28.469047619047625,17.896428571428572,711.7559523809524,69.55952380952381,26.86636904761905,0.1418095238095238,7.022619047619047,194.07738095238096
36,2018-09-16,11.607142857142858,38.10714285714285,22.696428571428573,19.00952380952381,1.009345238095238,7.161309523809523,26.088690476190475,15.510119047619046,711.5142857142857,70.71428571428571,26.1064880952381,0.1374821428571428,7.123809523809523,159.75
37,2018-09-23,14.898809523809524,40.29166666666666,8.779761904761905,21.835714285714285,1.0098809523809524,9.211309523809524,30.430357142857144,17.16488095238095,712.0494047619047,70.95238095238095,26.450178571428573,0.1135238095238095,6.777380952380952,174.57142857142858
38,2018-09-30,14.25595238095238,33.535714285714285,23.785714285714285,23.07857142857143,1.073154761904762,21.38154761904762,44.385714285714286,16.91904761904762,713.5488095238095,74.89880952380952,25.41553571428572,0.1231130952380952,6.095238095238095,174.8095238095238
39,2018-10-07,10.023809523809524,27.06547619047619,19.476190476190474,20.39464285714286,0.911845238095238,10.132738095238096,31.91488095238095,17.189285714285717,712.5547619047619,70.83333333333333,25.91119047619048,0.1419940476190476,7.548214285714285,196.9940476190476
40,2018-10-14,12.55952380952381,23.58333333333333,25.428571428571427,17.579761904761906,0.9641666666666666,7.458333333333333,25.90833333333333,17.77857142857143,709.1767857142856,72.04761904761905,26.063214285714285,0.1140833333333333,7.347619047619048,187.1904761904762
41,2018-10-21,7.244047619047619,23.357142857142858,9.053571428571429,22.935714285714283,1.048154761904762,10.160714285714286,35.325,16.23154761904762,717.1375,84.5297619047619,15.61017857142857,0.0546845238095238,8.376190476190477,142.01190476190476
